"","t_3_3_12","t_3_5_5","t_3_5_21","t_3_6_17","t_3_7_2","t_3_8_14","t_3_9_18","t_3_10_22","t_3_11_12","t_3_12_16","t_4_2_19","t_4_3_17","t_4_4_22","t_4_5_19","t_4_6_17","t_4_7_14","t_4_8_25","t_4_9_22","t_4_10_14","t_4_11_17","t_4_12_15","t_5_1_19","t_5_2_16","t_5_3_16","t_5_4_20","t_5_5_4","t_5_5_11","t_5_6_14","t_5_7_19","t_5_8_17","t_5_9_15","t_5_10_20","t_5_11_17","t_5_12_13","t_6_1_18","t_6_2_22","t_6_3_29","t_6_4_19","t_6_6_20","t_6_7_25","t_6_8_24","t_6_9_13","t_6_10_15","t_7_2_14","t_7_4_4","t_7_5_21","t_7_6_NA","t_7_8_NA","t_7_9_20","t_7_11_14","t_7_12_17","t_8_3_19","t_8_4_22","t_8_5_14","t_8_6_18","t_8_7_9","t_8_8_20","t_8_9_22","t_8_10_20","t_8_11_20","t_8_12_11","t_9_2_18","t_9_3_11","t_9_4_23","t_9_5_13","t_9_6_18","t_9_7_9","t_9_8_19","t_9_9_24","t_9_10_22","t_9_11_12","t_9_12_23","t_10_1_28","t_10_2_11","t_10_3_24","t_10_4_27","t_10_5_17","t_10_6_29","t_10_7_21","t_10_8_11","t_10_9_15","t_10_10_21","t_10_11_23","t_10_12_16","t_11_1_11"
"5_ARISA_407.7",0,na,0,0,0,na,0.00109904615993872,0.000467027087571079,na,na,0,0,0,0,0,0,0.000231012705698813,0,0.000559027392342225,0,0.000273013104629022,na,na,0,0,na,0,na,na,na,0,0.00157207231532651,0.00181908549701836,na,0,0.000175009450510328,0,0,0.00065602952132846,0,0,0.00125557533452007,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0.00585128671304894,0.000238016661166282,0.000136005168196391,0.000484040659415391,na,0,na,0,0,0,0,0.00289108095026661,0,na,na,0,0.000280019601372096,0,0.000899046750431022,0.000777019425485637,0.000302011174413453,na,0,0,na,0,0,0,0
"5_ARISA_408.8",0,na,0,0,0,na,0.000360015120635067,0.0003910226793154,na,na,0,0,0,0,0,0,0.000385021176164689,0,0.000581028470395049,0,0,na,na,0,0,na,0,na,na,na,0,0,0,na,0,0,0,0,0,0,0.00182408390785976,0.00110806648398904,na,na,na,na,na,na,na,na,0,0.000281012645569051,0,0,0,0,0.0126346190963357,0.00166211634814437,0,0.000378031754667392,na,0,na,0,0,0,0,0.00167404687331245,0,na,na,0,0,0,0,0,0,na,0.000439019755889015,0,na,0,0,0,0
"5_ARISA_409.4",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0,0,na,0,0,0,0,0,0,0.00106904917626211,0.000609536572194332,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0.000926064824537718,0,0.000117009828825621,na,0,na,0,0,0,0,0,0,na,na,0,0,0,0,0,0,na,0,0,na,0,0,0,0
"5_ARISA_411.1",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0,0,na,0,0,0,0,0,0,0.000600027601269658,0.000282016921015261,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0.000299020931465203,0,0,na,0,na,0,0,0,0,0,0,na,na,0,0,0,0,0,0,na,0,0,na,0,0,0,0
"5_ARISA_412.7",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0,0,na,0,0,0,0,0,0,0,0.00027851671100266,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0.000261012789626692,0.000197013790965368,0,0,na,0,na,0,0,0,0,0,0,na,na,0,0,0,0,0,0,na,0,0,na,0,0,0,0
"5_ARISA_413.3",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0,0,na,0,0,0,0,0,0,0.00125605777865782,0.000627537652259136,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0.00027701357366511,0,0,0.000133011172938527,na,0,na,0,0,0,0,0,0,na,na,0,0,0,0,0,0,na,0,0,na,0,0,0,0
"5_ARISA_414.2",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0.000371020406122337,0,0,0,0,na,na,0,0,na,0,na,na,na,0.00229710336965163,0,0.00104604916431072,na,0,0,0,0,0.000856038521733478,0,0,0.00192511550693042,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0.000540026461296604,0.00397827847949356,0,0.00045203797118958,na,0,na,0,0,0,0,0.00131503682103099,0,na,na,0,0,0,0,0,0,na,0,0,na,0,0,0,0
"5_ARISA_415.1",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0.000366020131107211,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0,0,na,0,0.000209011286609477,0,0,0.000340015300688531,0.000426019596901457,0,0.00161409684581075,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0.00106707469522867,0,0,na,0,na,0,0,0,0,0,0,na,na,0,0,0,0.000311016172840988,0,0,na,0,0,na,0,0,0,0
"5_ARISA_416.4",0.000430026661653022,na,0,0,0,na,0.00248610441638549,0.00239713903406398,na,na,0.000395021726194941,0.00051602941367658,0,0,0,0,0.000729040097205346,0,0,0,0.000260012480599069,na,na,0.000286015730865198,0,na,0,na,na,na,0,0,0.00397218669277456,na,0.000315023941819578,0.000154008316449088,0.000404020605050858,0,0.000752033841522868,0.000427019642903574,0,0.00327519651179071,na,na,na,na,na,na,na,na,0,0,0,0.00048402613741142,0,0,0,0.000656045923214625,0,0,na,0,na,0,0,0,0,0,0,na,na,0,0.000395027651935636,0.000325024701877343,0.00271914139535256,0.00418810470261757,0.00133204928582358,na,0.000788035461595772,0,na,0.000612027541239356,0,0,0
"5_ARISA_417",0,na,0,0,0,na,0,0,na,na,0.00084004620254114,0.000329018754068982,0.000540023220998503,0,0.000152010184682374,0,0,0,0,0,0,na,na,0,0,na,0.000148005920236809,na,na,na,0,0,0,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0.000753038404958653,0,0,0,0,0,na,0,na,0,0,0,0.000378024193548387,0,0,na,na,0.000522031843942481,0.000419029332053244,0,0,0,0.00106103925845256,na,0,0,na,0.000255011475516398,0,0.000281016861011661,9.65049217510093e-05
"5_ARISA_417.6",0,na,0,0,0,na,0,0,na,na,0,0.000598034087943013,0,0,0,0,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0.0440450260711993,0,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,na,0,na,0,0,0,0.000497031810035842,0,0,na,na,0,0,0,0,0,0.00656124276598234,na,0.00179208064362896,0,na,0.000525023626063173,0,0,0
"5_ARISA_418.5",0.00720044642767852,na,0.000323012920516821,0.000984049202460123,0.000954045794198122,na,0,0,na,na,0,0,0.00140106024559056,0,0.0014210952133793,0.00180508844933402,0,0.0107366119868833,0,0.0281544640321297,0.0223290717954462,na,na,0,0,na,0,na,na,na,0,0,0,na,0.00292322216488453,0,0.000298015198775138,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0.000105007140485553,0.00095505157278493,0,0,0,0,0,0,na,0,na,0,0,0,0,0,0,na,na,0,0,0,0,0,0,na,0.00356916061222755,0,na,0,0,0,0.00192459815450588
"5_ARISA_419.5",0.023190437807144,na,0.000488019520780831,0.0032381619080954,0.0022391074771589,na,0.176066394788581,0.17185796776213,na,na,0.0155278540319718,0.018393048403759,0.00245410552653764,0.0078814177151389,0.00971965121663151,0.00963747223613957,0.085000675037127,0.0241313754884028,0.0310975237786652,0.023208206826755,0.0202409715666352,na,na,0.0172669496822325,0,na,0.00217208688347534,na,na,na,0.0164807416333735,0,0.177444339883975,na,0,0.0442433891430137,0.000882044984294199,0.00296216588128935,0,0.0424079507657352,0.0982345187878642,0.0968763125787547,na,na,na,na,na,na,na,na,0.0685362897419076,0.00862438809746439,0.000310021081433537,0.00421322751428577,0.0100145107400477,0.03437064979119,0.0823890370628161,0,0.0778969600844832,0.0960230659375388,na,0.0181028146266582,na,0,0,0.0535739465670612,0.0187371991807476,0.37105838963491,0.0161962633085381,na,na,0.0595296313075098,0.0582280759653176,0.0640688692340618,0.0668344753927204,0.0873301832545814,0.00899033264230776,na,0.00639828792295653,0.0104995984771132,na,0,0,0.0602526151569094,0.00715686500011501
"5_ARISA_420.5",0,na,0.000953038121524861,0.00280414020701035,0.00273913147831096,na,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0.0267022817095221,na,na,0,0.00022301025847189,na,0.00210008400336013,na,na,na,0,0.0268092332247283,0,na,0.00199015125149511,0,0,0,0,0,0.0778625816787572,0.0193746624797488,na,na,na,na,na,na,na,na,0,0.0055242485911866,0.000309021013428913,0,0,0,0.0430811109744377,0,0,0,na,0.00834537554189939,na,0,0,0,0,0,0,na,na,0.0357101783208776,0.0418119268348784,0.0268490405270801,0,0.0236525913147829,0.00388314367631602,na,0.00577425984169288,0,na,0.0478921551469816,0,0,0
"5_ARISA_421.5",0.011922739209831,na,0.00268910756430257,0.0109245462273114,0.0104295006160296,na,0.0758691865058332,0.0343459920675399,na,na,0.00859247258599223,0.00667338038268181,0.00358315407562525,0.00908248137151269,0.0118737955443015,0.00946046356271457,0.0506897879383366,0.0390382251788352,0.0508044894199816,0.0745008740454504,0.0311244939757108,na,na,0.00749941246768572,0.000296013616626365,na,0.00333413336533461,na,na,na,0.0230820386917411,0.0301513869638003,0.10539595360982,na,0,0.0322197398659528,0.00297915193674877,0.00430824126151064,0,0.0322364828782124,0,0.0359946596795808,na,na,na,na,na,na,na,na,0.0170238171432229,0.00941842382907231,0.000400027201849726,0.00750840545389451,0.0106885451158009,0.0375918044066115,0.140840901204159,0,0.0460687506125233,0.0262362038411227,na,0.00497322379507078,na,0,0,0.0188300356519609,0.0167290706605223,0.0618727324365082,0.0107438380193655,na,na,0,0,0,0,0.0144103602590065,0.00674824968523835,na,0.00927441734878069,0.00820646776866281,na,0.0329644834017531,0,0.00778046682800968,0.00280264293478967
"5_ARISA_422.3",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0.000185008510391478,na,0,na,na,na,0,0,0,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,na,0.00171507717847303,na,0,0,0,0,0,0,na,na,0,0,0,0,0.00351808795219881,0.00271210034771287,na,0.00180908140866339,0,na,0,0,0,0
"5_ARISA_423.3",0.00181211235096576,na,0.00273210928437137,0.00195209760488024,0.00232311150935245,na,0,0,na,na,0.00142007810429574,0.000354020179150212,0,0.00150007950421372,0,0.00218810721725365,0,0,0,0,0,na,na,0.0014900819545075,0.000124005704262396,na,0.0105404216168647,na,na,na,0,0,0,na,0,0,0,0.00111206227548743,0,0,0,0,na,na,na,na,na,na,na,na,0,0.000861038746743603,0,0,0,0,0,0,0,0,na,0.00114505152731873,na,0,0,0,0.00043602790578597,0.0014270399571188,0.000643050157912317,na,na,0.00121407405851757,0.000969067834748432,0,0.00188709812910271,0.00453211330283257,0.00328912169750281,na,0.00210609477426484,0.000676038534196449,na,0,0,0.00050903054183251,0
"5_ARISA_424.4",0.00491030443887521,na,0,0.00434721736086804,0.0043062066979215,na,0.0126325305662838,0.0107006206359969,na,na,0.00193410637585067,0.00204111634363159,0.00122405263426327,0.00204010812573066,0.00180712107711217,0.00157507717878176,0.00608933491342024,0.0185410568402399,0.00837341029710456,0.0131476836795513,0.0124045954205802,na,na,0.00990454474996125,0.000928042689963738,na,0.0120094803792152,na,na,na,0.00830537374181838,0.0330365196799053,0.0196349228413735,na,0,0.00745740269974579,0.00584929831421402,0.00285315977694751,0,0.00472821749800491,0.00822637841340702,0.00885003100186011,na,na,na,na,na,na,na,na,0.00646531033489608,0.00574625858163617,0.00341223203177816,0.00457724717134725,0.00231211791801382,0.00891542794054115,0.055487718898226,0.00073005110357725,0.00889733809884776,0.00922577496509707,na,0.00174807866353986,na,0,0,0.00644235432948812,0.00104506688428059,0.00376410539495106,0.00146811451293201,na,na,0.00488929824719308,0.0031982238756713,0.00336025537940884,0.00296915439602859,0.00254706367659191,0.00319011803436727,na,0.00159707186823407,0.00114506526872032,na,0.00264611907535839,0,0.000843050583034982,0.000204010404530631
